cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_250",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_256",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_271",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_273",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_283",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_298",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_300",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_304",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_310",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_324",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_325",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_327",67.49,64.01,63.37,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_331",67.58,76.69,11.17,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",66.35,64.01,65.98,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_351",55.76,76.69,5.44,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_352",11.63,15.58,61.14,false,"WHAT_Ql","Medium","MMM","hard"
"cntrQ_354",16.58,78.73,16.58,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_358",10.3,20.17,29.61,true,"WHAT_Ql","Medium","HMH","medium"
"cntrQ_364",29.9,78.73,29.9,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_378",6.86,20.17,30.47,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_379",39.55,42.6,20.9,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_381",7.64,33.52,40.98,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_385",29.01,71.6,38.06,false,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_391",74.06,76.69,64.3,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_405",36.1,34.69,51.87,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_406",79.78,76.69,34.05,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_408",54.31,56.78,64.13,false,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_412",57.5,64.01,34.59,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_418",54.72,56.78,64.39,false,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_432",55.83,64.01,35.75,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_433",13.73,20.17,63.51,true,"WHAT_Ql","Medium","HMH","hard"
"cntrQ_435",37.44,71.6,56.58,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",53.73,78.73,62.61,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_445",39.91,71.6,49.58,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_459",46.49,78.73,57,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_460",48.08,34.69,17.37,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_462",3.94,15.58,32.14,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_466",75.62,76.69,37.87,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_472",1.97,15.58,31.75,false,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_486",81.19,76.69,27.79,false,"WHAT_Qn","Hard","HEE","medium"
