cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",78.57,76.69,55.04,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_351",52.29,56.78,21.98,false,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",30.84,78.73,30.84,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",19.13,71.6,24.89,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",6.27,33.52,39.21,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_378",11.8,20.17,34.76,false,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",23.76,22.56,19.75,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",12.53,14.99,21.98,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",36.96,27.53,36.06,true,"WHERE","Easy","HEE","medium"
"cntrQ_405",25.44,32.47,18.63,true,"WHERE","Hard","HHH","medium"
"cntrQ_406",37.52,42.6,58.78,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",34.37,34.69,66.31,false,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",79.47,76.69,34.87,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_432",49.17,56.78,24.08,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",42.75,78.73,51.86,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",39.71,71.6,58.43,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",8.03,33.52,28.82,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_459",13.94,20.17,59.87,false,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",20.94,22.56,64.43,false,"WHERE","Easy","EEE","hard"
"cntrQ_462",22.03,21.78,60.58,true,"WHERE","Easy","EHE","hard"
"cntrQ_466",31.51,27.53,35.51,true,"WHERE","Easy","HEE","hard"
"cntrQ_486",32.06,32.47,62.46,true,"WHERE","Hard","HHH","hard"
"cntrQ_8277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8327",66.04,64.01,60.75,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8337",67.27,64.01,59.01,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8352",10.25,15.58,54.43,false,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_8412",56.74,64.01,30.23,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8432",56.32,64.01,32.26,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8462",34.29,36.12,33.52,false,"WHERE","Medium","MMM","hard"
"cntrQ_8472",26.98,36.12,38.48,true,"WHERE","Medium","MMM","hard"
