cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_1",19.71,15.52,16.76,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_2",27.17,24.93,30.9,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_3",42.89,43.35,46.53,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_4",38.98,34.69,15.13,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_5",84.11,77.48,28.42,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_6",32.22,34.69,37.7,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_7",59.27,56.13,52.75,false,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_8",18.77,27.34,20.12,true,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_9",32.5,42.6,24.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_10",14.99,15.52,37.12,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_11",25.9,24.93,41.69,false,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_12",46.22,43.35,37.62,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_13",37.51,34.69,36.49,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_14",80.48,77.48,24.47,false,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_15",34.1,34.69,47.59,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_16",60.36,56.13,23.62,true,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_17",28.04,27.34,10.83,true,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_18",35.07,42.6,25.15,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_19",15.84,15.52,20.05,true,"WHAT_Qn","Easy","EEM","hard"
"cntrQ_20",26.92,24.93,16.61,false,"WHAT_Qn","Easy","EEH","hard"
"cntrQ_21",43.21,43.35,24.42,false,"WHAT_Qn","Easy","EME","hard"
"cntrQ_22",43.17,34.69,25.22,false,"WHAT_Qn","Easy","EMM","hard"
"cntrQ_23",73.06,77.48,27.36,true,"WHAT_Qn","Easy","EMH","hard"
"cntrQ_24",32.38,34.69,24.06,false,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_25",59.54,56.13,22.97,true,"WHAT_Qn","Easy","EHM","hard"
"cntrQ_26",28.69,27.34,28.48,true,"WHAT_Qn","Easy","EHH","hard"
"cntrQ_27",48.96,42.6,34.84,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_28",37.11,84.16,37.11,true,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_29",5.69,18.69,43.69,true,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_30",13.16,15.02,41.56,false,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_31",15.45,54.18,21.41,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_32",3.7,15.47,52.42,true,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_33",0,33.52,19.21,true,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_34",1.15,3.7,56.48,true,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_35",12.84,51.6,22.26,false,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_36",12.85,78.73,34.11,false,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_37",14.89,84.16,14.89,true,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_38",0,18.69,11.78,true,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_39",2.46,15.02,20.78,true,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_40",9.86,54.18,17.5,false,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_41",4.47,15.47,28,false,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_42",9.8,33.52,14.9,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_43",1.15,3.7,23.84,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_44",23.98,51.6,32.97,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_45",23.83,78.73,29.2,false,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_46",16.31,84.16,22.69,true,"WHAT_Ql","Easy","EEM","hard"
"cntrQ_47",14.02,18.69,43.69,false,"WHAT_Ql","Easy","EEH","hard"
"cntrQ_48",3.29,15.02,24.69,true,"WHAT_Ql","Easy","MEE","hard"
"cntrQ_49",22.53,54.18,29.79,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_50",0,15.47,22.76,true,"WHAT_Ql","Easy","MEH","hard"
"cntrQ_51",8.23,33.52,22.74,false,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_52",1.15,3.7,19.21,true,"WHAT_Ql","Easy","HEM","hard"
"cntrQ_53",19.91,51.6,30.4,true,"WHAT_Ql","Easy","HEH","hard"
"cntrQ_54",8.87,78.73,14.48,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_55",9.24,16.08,45.03,true,"WHERE","Easy","EME","easy"
"cntrQ_56",10.5,14.86,21.44,true,"WHERE","Easy","EHE","easy"
"cntrQ_57",13.52,16.02,15.96,true,"WHERE","Easy","MEE","easy"
"cntrQ_58",27.15,20.1,41.44,true,"WHERE","Easy","MME","easy"
"cntrQ_59",17.84,18.79,5.95,false,"WHERE","Easy","MHE","easy"
"cntrQ_60",17.7,19.96,22.4,false,"WHERE","Easy","HEE","easy"
"cntrQ_61",11.1,15.73,17.72,false,"WHERE","Easy","HME","easy"
"cntrQ_62",16.68,18.52,41.5,true,"WHERE","Easy","HHE","easy"
