cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",73.76,76.69,20.16,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",38.67,44.19,33.33,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",60.68,56.78,56.54,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",18.45,78.73,18.45,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",30.04,71.6,36,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",4.31,33.52,37.84,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",27.37,54.18,40.4,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",7.72,20.17,30.9,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",15.24,22.56,26.44,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",13.86,14.99,24.12,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",37.9,27.53,31.96,true,"WHERE","Easy","HEE","medium"
"cntrQ_391",28.97,40.91,35.35,true,"WHERE","Medium","MEM","medium"
"cntrQ_405",25.19,32.47,25.45,true,"WHERE","Hard","HHH","medium"
"cntrQ_406",39.31,42.6,62.42,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",22.16,34.69,19.51,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",80.2,76.69,40.59,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_418",43.91,44.19,67.93,false,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",49.63,56.78,24.86,true,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",49.29,78.73,57.47,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",46.29,71.6,59.05,true,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",4.9,33.52,32.74,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",23.46,54.18,32.96,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",12.23,20.17,61.8,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",23.39,22.56,58.35,true,"WHERE","Easy","EEE","hard"
"cntrQ_462",22.33,21.78,69.43,false,"WHERE","Easy","EHE","hard"
"cntrQ_466",27.02,27.53,36.88,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",45.58,40.91,25.79,false,"WHERE","Medium","MEM","hard"
"cntrQ_486",32.23,32.47,67.19,true,"WHERE","Hard","HHH","hard"
