cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",62.17,76.69,8.17,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",45.52,44.19,64.44,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",57.35,56.78,24.08,false,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",17.75,78.73,17.75,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",24.07,71.6,29.42,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",3.13,33.52,31.76,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",20.85,54.18,36.49,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",4.29,20.17,27.68,false,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",25.65,22.56,17.32,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",15.56,14.99,19.03,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",35.68,27.53,32.78,false,"WHERE","Easy","HEE","medium"
"cntrQ_391",35.82,40.91,36.62,true,"WHERE","Medium","MEM","medium"
"cntrQ_405",28.14,32.47,28.87,false,"WHERE","Hard","HHH","medium"
"cntrQ_406",40.15,42.6,59.69,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",41.02,34.69,68.71,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",75.44,76.69,38.14,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_418",38.26,44.19,45.07,false,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",59.27,56.78,62.82,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",38.78,78.73,56.3,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",43.62,71.6,54.93,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",4.7,33.52,31.76,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",21.41,54.18,31.47,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",10.72,20.17,58.58,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",20.36,22.56,54.71,true,"WHERE","Easy","EEE","hard"
"cntrQ_462",22.19,21.78,67.29,true,"WHERE","Easy","EHE","hard"
"cntrQ_466",23.14,27.53,32.78,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",49.29,40.91,34.71,true,"WHERE","Medium","MEM","hard"
"cntrQ_486",31.2,32.47,65.87,true,"WHERE","Hard","HHH","hard"
